STATE_NAME,COUNTY,POPULATION,HOUSEHOLDS,FAMILIES,SNAP,GEOID,latitude,longitude
 Alabama,Autauga County,58239,21856,15321,2298,,,
 Alabama,Baldwin County,227131,87190,58062,5839,,,
 Alabama,Barbour County,25259,9088,5860,2331,,,
 Alabama,Bibb County,22412,7083,5018,1198,,,
 Alabama,Blount County,58884,21300,15213,2135,47009,,
 Alabama,Bullock County,10386,3419,2077,972,,,
 Alabama,Butler County,19181,6531,4317,1050,,,
 Alabama,Calhoun County,116425,44295,27960,7720,,,
 Alabama,Chambers County,34834,13123,9091,1982,,,
 Alabama,Cherokee County,24975,9692,6430,1236,,,
 Alabama,Chilton County,44857,16562,11814,2287,,,
 Alabama,Choctaw County,12792,5211,3256,1077,,,
 Alabama,Clarke County,23346,8250,5333,1653,,,
 Alabama,Clay County,14184,5399,3721,741,47027,36.5511,-85.5439
 Alabama,Cleburne County,15046,5598,3755,812,,,
 Alabama,Coffee County,53043,20478,13812,2421,47031,,
 Alabama,Colbert County,56789,22640,14848,3302,,,
 Alabama,Conecuh County,11778,4187,2498,503,,,
 Alabama,Coosa County,10442,3824,2591,399,,,
 Alabama,Covington County,37490,14296,9356,1764,,,
 Alabama,Crenshaw County,13300,4653,2936,863,,,
 Alabama,Cullman County,87129,32939,22795,3478,,,
 Alabama,Dale County,49443,19470,12543,3529,,,
 Alabama,Dallas County,39162,14385,8122,4045,,,
 Alabama,DeKalb County,71554,25601,18329,4184,47041,,
 Alabama,Elmore County,87146,31630,23240,3514,,,
 Alabama,Escambia County,36879,12878,7916,1962,,,
 Alabama,Etowah County,103468,38289,24686,5191,,,
 Alabama,Fayette County,16365,6204,4141,1179,47047,,
 Alabama,Franklin County,32034,10955,7449,2040,47051,,
 Alabama,Geneva County,26604,10303,6884,1829,,,
 Alabama,Greene County,7851,2849,1376,723,47059,,
 Alabama,Hale County,14819,5133,3158,1283,,,
 Alabama,Henry County,17165,6404,4294,929,47079,,
 Alabama,Houston County,106355,41095,26907,5717,47083,,
 Alabama,Jackson County,52548,20276,13951,2623,47087,36.3592,-85.6732
 Alabama,Jefferson County,672550,264105,162288,35046,47089,,
 Alabama,Lamar County,13929,5351,3509,1038,,,
 Alabama,Lauderdale County,93342,37928,24365,4373,47097,,
 Alabama,Lawrence County,33089,12469,8791,1798,47099,,
 Alabama,Lee County,172223,63122,39293,5595,,,
 Alabama,Limestone County,101217,37987,26793,3408,,,
 Alabama,Lowndes County,10334,3878,2367,1101,,,
 Alabama,Macon County,19490,7136,4173,1519,47111,36.532,-86.0073
 Alabama,Madison County,382149,156305,99835,14536,47113,,
 Alabama,Marengo County,19397,7248,3797,1286,,,
 Alabama,Marion County,29392,11131,7220,1626,47115,,
 Alabama,Marshall County,97179,35439,24759,3820,47117,,
 Alabama,Mobile County,414620,158045,102070,26083,,,
 Alabama,Monroe County,20115,7333,4429,853,47123,,
 Alabama,Montgomery County,229072,89134,54217,17165,47125,,
 Alabama,Morgan County,122608,47459,31623,6243,47129,,
 Alabama,Perry County,8702,2847,1515,893,47135,,
 Alabama,Pickens County,19240,6993,4705,1065,,,
 Alabama,Pike County,33176,11508,6294,1801,,,
 Alabama,Randolph County,21984,8607,5812,1422,,,
 Alabama,Russell County,58695,23141,14687,4514,,,
 Alabama,St. Clair County,90412,33218,23988,3099,,,
 Alabama,Shelby County,220780,82005,58302,3991,47157,,
 Alabama,Sumter County,12482,4808,2871,1288,,,
 Alabama,Talladega County,81850,31778,20945,5227,,,
 Alabama,Tallapoosa County,41284,16380,10883,3092,,,
 Alabama,Tuscaloosa County,223945,81790,52301,9014,,,
 Alabama,Walker County,65194,24646,16466,3583,,,
